id,nutrient_nbr,rank,name_with_unit
2011,826.0,15525.0,TFA 17:1 t (G)
2012,829.0,12401.0,MUFA 20:1 c (G)
2013,830.0,15540.0,TFA 20:1 t (G)
2014,676.1,12601.0,MUFA 22:1 n-9 (G)
2015,676.2,12602.0,MUFA 22:1 n-11 (G)
2016,831.0,13150.0,PUFA 18:2 c (G)
2017,832.0,15611.0,TFA 18:2 t (G)
2018,833.0,13910.0,PUFA 18:3 c (G)
2019,834.0,15660.0,TFA 18:3 t (G)
2020,835.0,14450.0,PUFA 20:3 c (G)
2021,683.0,14675.0,PUFA 22:3 (G)
2022,836.0,14750.0,PUFA 20:4c (G)
2023,837.0,14950.0,PUFA 20:5c (G)
2024,838.0,15150.0,PUFA 22:5 c (G)
2025,839.0,15250.0,PUFA 22:6 c (G)
2026,840.0,14250.0,PUFA 20:2 c (G)
2027,200.0,999999.0,Proximate (G)
2028,321.2,7444.0,trans-beta-Carotene (UG)
2029,337.2,7534.0,trans-Lycopene (UG)
2032,335.0,7461.0,"Cryptoxanthin, alpha (UG)"
2033,293.0,1300.0,Total dietary fiber (AOAC 2011.25) (G)
2034,293.1,1310.0,Insoluble dietary fiber (IDF) (G)
2035,293.2,1320.0,Soluble dietary fiber (SDFP+SDFS) (G)
2036,954.0,1324.0,Soluble dietary fiber (SDFP) (G)
2037,953.0,1326.0,Soluble dietary fiber (SDFS) (G)
2038,293.3,1305.0,High Molecular Weight Dietary Fiber (HMWDF) (G)
2039,956.0,1100.0,Carbohydrates (G)
2040,955.0,7510.0,Other carotenoids (UG)
2041,323.99,7900.0,Tocopherols and tocotrienols (MG)
2042,500.0,16250.0,Amino acids (G)
2043,300.0,5200.0,Minerals (MG)
2044,950.0,9600.0,Lipids (G)
2045,951.0,50.0,Proximates (G)
2046,952.0,6250.0,Vitamins and Other Components (G)
2055,,7901.0,Total Tocopherols (MG)
2054,,7902.0,Total Tocotrienols (MG)
2053,,15801.0,Stigmastadiene (MG)
2052,,16226.0,Delta-7-Stigmastenol (MG)
2049,717.0,19310.0,Daidzin (MG)
2050,718.0,19320.0,Genistin (MG)
2051,719.0,19330.0,Glycitin (MG)
2057,,16255.0,Ergothioneine (MG)
2058,,1327.0,Beta-glucan (G)
2059,,8730.0,Vitamin D4 (UG)
2060,,16210.0,Ergosta-7-enol (MG)
2061,,16211.0," Ergosta-7,22-dienol (MG)"
2062,,16211.0," Ergosta-5,7-dienol (MG)"
2063,,2450.0,Verbascose (G)
2064,,2250.0,Oligosaccharides (MG)
2065,293.4,1306.0,Low Molecular Weight Dietary Fiber (LMWDF) (G)
